id,first_name,last_name,gameweek_18_points
414,Rúben Diogo,da Silva Neves,0.0
415,João Filipe Iria,Santos Moutinho,1.0
416,Morgan,Gibbs-White,0.0
417,Adama,Traoré,0.0
418,Hélder,Costa,0.0
419,Ivan,Cavaleiro,0.0
420,Leander,Dendoncker,0.0
421,Leandro,Trossard,0.0
422,André Filipe,Tavares Gomes,0.0
423,Chris,Basham,1.0
424,,,0.0
425,,,0.0
426,,,0.0
427,Emiliano,Martínez,0.0
428,Wesley,Moraes,0.0
429,Jed,Steer,0.0
430,Aaron,Lennon,0.0
431,Christian,Pulisic,0.0
432,Mateo,Kovacic,1.0
433,James,Justin,0.0
434,Josip,Drmic,0.0
435,Patrick,Roberts,0.0
436,Simon,Moore,0.0
437,Che,Adams,0.0
438,Moussa,Djenepo,0.0
439,Craig,Dawson,0.0
440,José Ángel,Esmorís Tasende,0.0
441,Luke,Freeman,0.0
442,Tanguy,Ndombele,0.0
443,Rodrigo,Hernandez,0.0
444,Phil,Jagielka,0.0
445,Tyrone,Mings,0.0
446,Jack,Stacey,0.0
447,Erik,Pieters,0.0
448,Youri,Tielemans,0.0
449,Ralf,Fahrmann,0.0
450,Roberto,Jimenez Gago,0.0
451,Jay,Rodriguez,2.0
452,Ezri,Konsa Ngoyo,0.0
453,Callum,Robinson,0.0
454,Sam,Byram,0.0
455,Bjorn,Engels,0.0
456,Ravel,Morrison,0.0
457,Sébastien,Haller,0.0
458,Frédéric,Guilbert,0.0
459,Kurt,Zouma,1.0
460,Tammy,Abraham,0.0
461,Michy,Batshuayi,0.0
462,Robert Kenedy,Nunes do Nascimento,0.0
463,Mason,Mount,0.0
464,Rhian,Brewster,0.0
465,Mahmoud Ahmed,Ibrahim Hassan,0.0
466,Joelinton Cássio,Apolinário de Lira,0.0
467,Calum,Chambers,2.0
468,Jordan,Ayew,0.0
469,Daniel,Ceballos Fernández,0.0
470,Douglas Luiz,Soares de Paulo,0.0
471,Dean,Henderson,2.0
472,Ben,Osborn,0.0
473,Jesús,Vallejo Lázaro,0.0
474,Lovre,Kalinic,0.0
475,Dan,Burn,0.0
476,Philip,Billing,1.0
477,Lewis,Gibson,0.0
478,Mason,Holgate,1.0
479,Jonas,Lössl,0.0
480,Andy,King,0.0
481,Axel,Tuanzebe,0.0
482,Jack,Colback,0.0
483,Jacob,Murphy,0.0
484,Philip,Heise,0.0
485,Wesley,Hoedt,0.0
486,Cédric,Soares,0.0
487,Patrick,Cutrone,0.0
488,Nicolas,Pépé,0.0
489,Reiss,Nelson,0.0
490,Joseph,Willock,0.0
491,Marvelous,Nakamba,0.0
492,Arnaut,Danjuma Groeneveld,0.0
493,Adam,Webster,0.0
494,Aaron,Ramsdale,0.0
495,Bailey,Peacock-Farrell,0.0
496,Moise,Kean,0.0
497,Jean-Philippe,Gbamin,0.0
498,Jetro,Willems,0.0
499,Rolando,Aarons,0.0
500,Allan,Saint-Maximin,0.0
501,Oliver,McBurnie,2.0
502,Neal,Maupay,0.0
